SmartZoneName,curb_zone_id,week,car,freight,truck,van,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Mid_Day,overnight,PM_Rush,Total_Events,Total_Dwell_Time,Average_Dwell_Time,Precipitation,log_events,retail_nn1,retail_nn2,retail_nn3,quick_grocery_nn1,quick_grocery_nn2,quick_grocery_nn3,dining_nn1,dining_nn2,dining_nn3,housing_nn1,housing_nn2,housing_nn3,commercial_nn1,commercial_nn2,commercial_nn3,industrial_nn1,industrial_nn2,industrial_nn3,civic_nn1,civic_nn2,civic_nn3,school_nn1,school_nn2,school_nn3,healthcare_nn1,healthcare_nn2,healthcare_nn3,parking_nn1,parking_nn2,parking_nn3,attraction_nn1,attraction_nn2,attraction_nn3
100 Broad (near Walnut St),"192",3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,"1",43.22,43.22,8.7113,0," 686.4404"," 688.0856"," 701.7737","1554.719","1978.099","2488.709"," 457.27362"," 468.02846"," 473.9343"," 305.32607"," 308.3329"," 310.8122","  30.26416","  34.29026","  59.10491","4018.772","4045.383","4074.619"," 601.9115"," 669.6698"," 920.1695","1040.9537","1240.39206","1242.44443"," 739.0862","1113.6219","1128.2737","5751.449","5754.484","5757.288"," 160.50695"," 168.41485"," 253.80960"
100 Broad (near Walnut St),"192",5,0,0,0,2,0,0,0,1,0,1,0,0,0,2,"2",141.43,70.715,0.2545,0.301029995663981," 686.4404"," 688.0856"," 701.7737","1554.719","1978.099","2488.709"," 457.27362"," 468.02846"," 473.9343"," 305.32607"," 308.3329"," 310.8122","  30.26416","  34.29026","  59.10491","4018.772","4045.383","4074.619"," 601.9115"," 669.6698"," 920.1695","1040.9537","1240.39206","1242.44443"," 739.0862","1113.6219","1128.2737","5751.449","5754.484","5757.288"," 160.50695"," 168.41485"," 253.80960"
100 Broad (near Walnut St),"192",7,0,0,0,1,0,0,0,0,0,1,0,0,1,0,"1",39.72,39.72,6.9221,0," 686.4404"," 688.0856"," 701.7737","1554.719","1978.099","2488.709"," 457.27362"," 468.02846"," 473.9343"," 305.32607"," 308.3329"," 310.8122","  30.26416","  34.29026","  59.10491","4018.772","4045.383","4074.619"," 601.9115"," 669.6698"," 920.1695","1040.9537","1240.39206","1242.44443"," 739.0862","1113.6219","1128.2737","5751.449","5754.484","5757.288"," 160.50695"," 168.41485"," 253.80960"
100 Broad (near Walnut St),"192",9,0,0,0,4,0,0,0,0,4,0,0,0,0,4,"4",232.41,58.1025,8.2545,0.602059991327962," 686.4404"," 688.0856"," 701.7737","1554.719","1978.099","2488.709"," 457.27362"," 468.02846"," 473.9343"," 305.32607"," 308.3329"," 310.8122","  30.26416","  34.29026","  59.10491","4018.772","4045.383","4074.619"," 601.9115"," 669.6698"," 920.1695","1040.9537","1240.39206","1242.44443"," 739.0862","1113.6219","1128.2737","5751.449","5754.484","5757.288"," 160.50695"," 168.41485"," 253.80960"
100 Broad (near Walnut St),"192",15,0,0,0,1,0,0,0,0,1,0,0,0,0,1,"1",40.7,40.7,0.0005,0," 686.4404"," 688.0856"," 701.7737","1554.719","1978.099","2488.709"," 457.27362"," 468.02846"," 473.9343"," 305.32607"," 308.3329"," 310.8122","  30.26416","  34.29026","  59.10491","4018.772","4045.383","4074.619"," 601.9115"," 669.6698"," 920.1695","1040.9537","1240.39206","1242.44443"," 739.0862","1113.6219","1128.2737","5751.449","5754.484","5757.288"," 160.50695"," 168.41485"," 253.80960"
1000 Chestnut St (near 11 St),"181",1,22,0,0,0,3,1,3,1,3,7,4,2,8,11,"22",816.82,37.1281818181818,2.8022,1.34242268082221," 458.0870"," 562.8278"," 606.3953","1346.787","1378.175","1403.977"," 994.35893","1020.06405","1083.6412"," 395.80676"," 400.9471"," 405.4735"," 346.69509"," 372.81799"," 384.88101","3288.889","3304.555","3319.309"," 268.9491"," 268.9491"," 269.3123"," 172.70510"," 208.46303"," 233.53480"," 105.92147"," 117.32443"," 130.50456","7653.510","7656.121","7658.493"," 276.51824"," 280.27934"," 291.83817"
1000 Chestnut St (near 11 St),"181",2,25,1,0,2,4,3,7,5,2,6,1,4,15,9,"28",605.6,21.6285714285714,1.6321,1.44715803134222," 458.0870"," 562.8278"," 606.3953","1346.787","1378.175","1403.977"," 994.35893","1020.06405","1083.6412"," 395.80676"," 400.9471"," 405.4735"," 346.69509"," 372.81799"," 384.88101","3288.889","3304.555","3319.309"," 268.9491"," 268.9491"," 269.3123"," 172.70510"," 208.46303"," 233.53480"," 105.92147"," 117.32443"," 130.50456","7653.510","7656.121","7658.493"," 276.51824"," 280.27934"," 291.83817"
1000 Chestnut St (near 11 St),"181",3,28,0,1,0,0,6,4,1,4,10,4,7,9,13,"29",922.29,31.8031034482759,8.7113,1.46239799789896," 458.0870"," 562.8278"," 606.3953","1346.787","1378.175","1403.977"," 994.35893","1020.06405","1083.6412"," 395.80676"," 400.9471"," 405.4735"," 346.69509"," 372.81799"," 384.88101","3288.889","3304.555","3319.309"," 268.9491"," 268.9491"," 269.3123"," 172.70510"," 208.46303"," 233.53480"," 105.92147"," 117.32443"," 130.50456","7653.510","7656.121","7658.493"," 276.51824"," 280.27934"," 291.83817"
1000 Chestnut St (near 11 St),"181",4,29,1,0,1,0,8,3,6,3,7,4,9,9,13,"31",1044.25,33.6854838709677,12.4127,1.49136169383427," 458.0870"," 562.8278"," 606.3953","1346.787","1378.175","1403.977"," 994.35893","1020.06405","1083.6412"," 395.80676"," 400.9471"," 405.4735"," 346.69509"," 372.81799"," 384.88101","3288.889","3304.555","3319.309"," 268.9491"," 268.9491"," 269.3123"," 172.70510"," 208.46303"," 233.53480"," 105.92147"," 117.32443"," 130.50456","7653.510","7656.121","7658.493"," 276.51824"," 280.27934"," 291.83817"
1000 Chestnut St (near 11 St),"181",5,23,0,1,5,2,4,9,2,3,3,6,5,8,16,"29",702.15,24.2120689655172,0.2545,1.46239799789896," 458.0870"," 562.8278"," 606.3953","1346.787","1378.175","1403.977"," 994.35893","1020.06405","1083.6412"," 395.80676"," 400.9471"," 405.4735"," 346.69509"," 372.81799"," 384.88101","3288.889","3304.555","3319.309"," 268.9491"," 268.9491"," 269.3123"," 172.70510"," 208.46303"," 233.53480"," 105.92147"," 117.32443"," 130.50456","7653.510","7656.121","7658.493"," 276.51824"," 280.27934"," 291.83817"
1000 Chestnut St (near 11 St),"181",6,20,1,0,8,7,2,3,2,4,5,6,4,12,13,"29",974.09,33.5893103448276,0.0906,1.46239799789896," 458.0870"," 562.8278"," 606.3953","1346.787","1378.175","1403.977"," 994.35893","1020.06405","1083.6412"," 395.80676"," 400.9471"," 405.4735"," 346.69509"," 372.81799"," 384.88101","3288.889","3304.555","3319.309"," 268.9491"," 268.9491"," 269.3123"," 172.70510"," 208.46303"," 233.53480"," 105.92147"," 117.32443"," 130.50456","7653.510","7656.121","7658.493"," 276.51824"," 280.27934"," 291.83817"
