SmartZoneName,curb_zone_id,week,Day,bookings,Weekend_dummy,retail_nn1,retail_nn2,retail_nn3,quick_grocery_nn1,quick_grocery_nn2,quick_grocery_nn3,dining_nn1,dining_nn2,dining_nn3,housing_nn1,housing_nn2,housing_nn3,commercial_nn1,commercial_nn2,commercial_nn3,industrial_nn1,industrial_nn2,industrial_nn3,civic_nn1,civic_nn2,civic_nn3,school_nn1,school_nn2,school_nn3,healthcare_nn1,healthcare_nn2,healthcare_nn3,parking_nn1,parking_nn2,parking_nn3,attraction_nn1,attraction_nn2,attraction_nn3,CLASS_2,Bike_Network_dummy
100 Broad (near Walnut St),"192","3",Sun,"0",1,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,"2",0
100 Broad (near Walnut St),"192","3",Mon,"0",0,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,"2",0
100 Broad (near Walnut St),"192","3",Tue,"0",0,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,"2",0
100 Broad (near Walnut St),"192","3",Wed,"0",0,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,"2",0
100 Broad (near Walnut St),"192","3",Thu,"0",0,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,"2",0
100 Broad (near Walnut St),"192","3",Fri,"1",0,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,"2",0
100 Broad (near Walnut St),"192","3",Sat,"0",1,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,"2",0
100 Broad (near Walnut St),"192","5",Sun,"0",1,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,"2",0
100 Broad (near Walnut St),"192","5",Mon,"0",0,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,"2",0
100 Broad (near Walnut St),"192","5",Tue,"0",0,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,"2",0
100 Broad (near Walnut St),"192","5",Wed,"1",0,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,"2",0
100 Broad (near Walnut St),"192","5",Thu,"0",0,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,"2",0
100 Broad (near Walnut St),"192","5",Fri,"1",0,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,"2",0
100 Broad (near Walnut St),"192","5",Sat,"0",1,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,"2",0
100 Broad (near Walnut St),"192","7",Sun,"0",1,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,"2",0
100 Broad (near Walnut St),"192","7",Mon,"0",0,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,"2",0
100 Broad (near Walnut St),"192","7",Tue,"0",0,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,"2",0
100 Broad (near Walnut St),"192","7",Wed,"0",0,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,"2",0
100 Broad (near Walnut St),"192","7",Thu,"0",0,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,"2",0
100 Broad (near Walnut St),"192","7",Fri,"1",0,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,"2",0
