OID_,Join_Count,TARGET_FID,categry,curb_id,currncy,dstnc_n_,dstnc_s_,end_st_,mx_drt_,price,rgltn_t,sd_f_st,smrt_z_,strt_s_,strt_nm,time_zn,vhcl_ty,CLASS,Shape_Length,CLASS_2
1,4,0,no_parking,cGhpbGFkZWxwaGlhOjE0MzU1, ,4.380000000000000,0.000000000000000,Benjamin Franklin Parkway,-1.000000000000000,0,no_stopping,W,0,Cherry Street,North 16th Street,America/New_York, ,3,0.000040035566112,3
2,5,1,other,cGhpbGFkZWxwaGlhOjE0MzU1, ,78.930000000000007,4.380000000000000,Benjamin Franklin Parkway,0.000000000000000,0,parking,W,0,Cherry Street,North 16th Street,America/New_York,official,3,0.000676082662764,3
3,2,2,no_parking,cGhpbGFkZWxwaGlhOjE0MzU1, ,82.730000000000004,78.930000000000007,Benjamin Franklin Parkway,-1.000000000000000,0,no_stopping,W,0,Cherry Street,North 16th Street,America/New_York, ,3,0.000034712949050,3
4,4,3,no_parking,cGhpbGFkZWxwaGlhOjE0MzU2, ,6.100000000000000,0.000000000000000,Cherry Street,-1.000000000000000,0,no_stopping,W,0,Race Street,North 16th Street,America/New_York, ,3,0.000055110578506,3
5,4,4,disabled,cGhpbGFkZWxwaGlhOjE0MzU2, ,34.140000000000001,6.100000000000000,Cherry Street,2.000000000000000,0,time_limited_parking,W,0,Race Street,North 16th Street,America/New_York,disabled,3,0.000254788160007,3
6,1,5,no_parking,cGhpbGFkZWxwaGlhOjE0MzU2, ,43.340000000000003,34.140000000000001,Cherry Street,-1.000000000000000,0,no_stopping,W,0,Race Street,North 16th Street,America/New_York, ,3,0.000082976019851,3
7,1,6,disabled,cGhpbGFkZWxwaGlhOjE0MzU2, ,52.560000000000002,43.340000000000003,Cherry Street,2.000000000000000,0,time_limited_parking,W,0,Race Street,North 16th Street,America/New_York,disabled,3,0.000083743995978,3
8,1,7,no_parking,cGhpbGFkZWxwaGlhOjE0MzU2, ,54.140000000000001,52.560000000000002,Cherry Street,-1.000000000000000,0,no_stopping,W,0,Race Street,North 16th Street,America/New_York, ,3,0.000014317413539,3
9,1,8,no_parking,cGhpbGFkZWxwaGlhOjE0MzU2, ,60.869999999999997,54.140000000000001,Cherry Street,-1.000000000000000,0,no_stopping,W,0,Race Street,North 16th Street,America/New_York, ,3,0.000061401070990,3
10,1,9,no_parking,cGhpbGFkZWxwaGlhOjE0MzU2, ,67.780000000000001,60.869999999999997,Cherry Street,-1.000000000000000,0,no_stopping,W,0,Race Street,North 16th Street,America/New_York, ,3,0.000062369914565,3
11,1,10,no_parking,cGhpbGFkZWxwaGlhOjE0MzU2, ,81.159999999999997,67.780000000000001,Cherry Street,-1.000000000000000,0,no_stopping,W,0,Race Street,North 16th Street,America/New_York, ,3,0.000120830588438,3
12,4,11,no_parking,cGhpbGFkZWxwaGlhOjE0MzU2, ,88.819999999999993,81.159999999999997,Cherry Street,-1.000000000000000,0,no_stopping,W,0,Race Street,North 16th Street,America/New_York, ,3,0.000069425716690,3
13,4,12,no_parking,cGhpbGFkZWxwaGlhOjE0MzU2, ,94.920000000000002,88.819999999999993,Cherry Street,-1.000000000000000,0,no_stopping,W,0,Race Street,North 16th Street,America/New_York, ,3,0.000055318947334,3
