"SmartZoneName","curb_zone_id","week","Day","geometry"
"100 Broad (near Walnut St)","192",3,"Sun","c(-75.1640706339437,  39.9495148480436)"
"100 Broad (near Walnut St)","192",3,"Mon","c(-75.1640706339437,  39.9495148480436)"
"100 Broad (near Walnut St)","192",3,"Tue","c(-75.1640706339437,  39.9495148480436)"
"100 Broad (near Walnut St)","192",3,"Wed","c(-75.1640706339437,  39.9495148480436)"
"100 Broad (near Walnut St)","192",3,"Thu","c(-75.1640706339437,  39.9495148480436)"
"100 Broad (near Walnut St)","192",3,"Fri","c(-75.1640706339437,  39.9495148480436)"
"100 Broad (near Walnut St)","192",3,"Sat","c(-75.1640706339437,  39.9495148480436)"
"100 Broad (near Walnut St)","192",5,"Sun","c(-75.1640706339437,  39.9495148480436)"
"100 Broad (near Walnut St)","192",5,"Mon","c(-75.1640706339437,  39.9495148480436)"
"100 Broad (near Walnut St)","192",5,"Tue","c(-75.1640706339437,  39.9495148480436)"
"100 Broad (near Walnut St)","192",5,"Wed","c(-75.1640706339437,  39.9495148480436)"
"100 Broad (near Walnut St)","192",5,"Thu","c(-75.1640706339437,  39.9495148480436)"
"100 Broad (near Walnut St)","192",5,"Fri","c(-75.1640706339437,  39.9495148480436)"
"100 Broad (near Walnut St)","192",5,"Sat","c(-75.1640706339437,  39.9495148480436)"
"100 Broad (near Walnut St)","192",7,"Sun","c(-75.1640706339437,  39.9495148480436)"
"100 Broad (near Walnut St)","192",7,"Mon","c(-75.1640706339437,  39.9495148480436)"
"100 Broad (near Walnut St)","192",7,"Tue","c(-75.1640706339437,  39.9495148480436)"
"100 Broad (near Walnut St)","192",7,"Wed","c(-75.1640706339437,  39.9495148480436)"
"100 Broad (near Walnut St)","192",7,"Thu","c(-75.1640706339437,  39.9495148480436)"
"100 Broad (near Walnut St)","192",7,"Fri","c(-75.1640706339437,  39.9495148480436)"
"100 Broad (near Walnut St)","192",7,"Sat","c(-75.1640706339437,  39.9495148480436)"
"100 Broad (near Walnut St)","192",9,"Sun","c(-75.1640706339437,  39.9495148480436)"
"100 Broad (near Walnut St)","192",9,"Mon","c(-75.1640706339437,  39.9495148480436)"
"100 Broad (near Walnut St)","192",9,"Tue","c(-75.1640706339437,  39.9495148480436)"
"100 Broad (near Walnut St)","192",9,"Wed","c(-75.1640706339437,  39.9495148480436)"
"100 Broad (near Walnut St)","192",9,"Thu","c(-75.1640706339437,  39.9495148480436)"
"100 Broad (near Walnut St)","192",9,"Fri","c(-75.1640706339437,  39.9495148480436)"
"100 Broad (near Walnut St)","192",9,"Sat","c(-75.1640706339437,  39.9495148480436)"
"100 Broad (near Walnut St)","192",15,"Sun","c(-75.1640706339437,  39.9495148480436)"
"100 Broad (near Walnut St)","192",15,"Mon","c(-75.1640706339437,  39.9495148480436)"
"100 Broad (near Walnut St)","192",15,"Tue","c(-75.1640706339437,  39.9495148480436)"
"100 Broad (near Walnut St)","192",15,"Wed","c(-75.1640706339437,  39.9495148480436)"
"100 Broad (near Walnut St)","192",15,"Thu","c(-75.1640706339437,  39.9495148480436)"
"100 Broad (near Walnut St)","192",15,"Fri","c(-75.1640706339437,  39.9495148480436)"
"100 Broad (near Walnut St)","192",15,"Sat","c(-75.1640706339437,  39.9495148480436)"
"1000 Chestnut St (near 11 St)","181",1,"Sun","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",1,"Mon","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",1,"Tue","c(-75.1567807534209,  39.9500372620243)"
