curb_policy_id,priority,rules,time_spans
009b5151-ae37-5498-880f-5c2ce5896172,50,"[{'activity': 'loading', 'max_stay': 30, 'rate': None, 'user_classes': None}]","[{'days_of_month': None, 'days_of_week': ['mon', 'tue', 'wed', 'thu', 'fri', 'sat'], 'months': None, 'time_of_day_end': '20:00', 'time_of_day_start': '10:00'}]"
00a1aca9-d500-51cc-93d6-6c72d0827fdc,50,"[{'activity': 'parking', 'rate': None, 'user_classes': ['bicycle']}]","[{'days_of_month': None, 'days_of_week': ['sun', 'mon', 'tue', 'wed', 'thu', 'fri', 'sat'], 'months': None, 'time_of_day_end': '24:00', 'time_of_day_start': '00:00'}]"
011b7b40-5c46-5818-bc86-c4552529fe58,50,"[{'activity': 'parking', 'max_stay': 120, 'rate': [{'per_hour': 300}], 'user_classes': ['motorcycle']}]","[{'days_of_month': None, 'days_of_week': ['sun', 'mon', 'tue', 'wed', 'thu', 'fri', 'sat'], 'months': None, 'time_of_day_end': '22:00', 'time_of_day_start': '08:00'}]"
01a76b9a-a23e-5f12-9767-45175a289b82,50,"[{'activity': 'loading', 'max_stay': 30, 'rate': None, 'user_classes': None}]","[{'days_of_month': None, 'days_of_week': ['sun', 'sat'], 'months': None, 'time_of_day_end': '24:00', 'time_of_day_start': '00:00'}, {'days_of_month': None, 'days_of_week': ['mon', 'tue', 'wed', 'thu', 'fri'], 'months': None, 'time_of_day_end': '24:00', 'time_of_day_start': '16:00'}, {'days_of_month': None, 'days_of_week': ['mon', 'tue', 'wed', 'thu', 'fri'], 'months': None, 'time_of_day_end': '06:00', 'time_of_day_start': '00:00'}]"
01ab3d71-80c5-5d35-b238-31e72ce11af5,50,"[{'activity': 'stopping', 'rate': None, 'user_classes': ['bus']}]","[{'days_of_month': None, 'days_of_week': ['sun'], 'months': None, 'time_of_day_end': '24:00', 'time_of_day_start': '18:30'}, {'days_of_month': None, 'days_of_week': ['sun'], 'months': None, 'time_of_day_end': '08:00', 'time_of_day_start': '00:00'}]"
01cc6590-3bd0-5c0e-89c4-8f906f4a223a,60,"[{'activity': 'no parking', 'rate': None, 'user_classes': None}]","[{'days_of_month': None, 'days_of_week': ['mon', 'tue', 'wed', 'thu', 'fri', 'sat'], 'months': None, 'time_of_day_end': '08:00', 'time_of_day_start': '01:00'}, {'days_of_month': None, 'days_of_week': ['sun'], 'months': None, 'time_of_day_end': '24:00', 'time_of_day_start': '00:00'}]"
0287030d-94b3-583f-9d2f-0f06133171a0,50,"[{'activity': 'parking', 'max_stay': 180, 'rate': None, 'user_classes': ['official']}]","[{'days_of_month': None, 'days_of_week': ['sat'], 'months': None, 'time_of_day_end': '22:00', 'time_of_day_start': '08:00'}, {'days_of_month': None, 'days_of_week': ['mon', 'tue', 'wed', 'thu', 'fri'], 'months': None, 'time_of_day_end': '22:00', 'time_of_day_start': '16:00'}]"
029f8d72-d861-5e44-97b5-d7b42ad027f7,60,"[{'activity': 'no stopping', 'rate': None, 'user_classes': None}]","[{'days_of_month': None, 'days_of_week': ['sun'], 'months': None, 'time_of_day_end': '24:00', 'time_of_day_start': '06:00'}, {'days_of_month': None, 'days_of_week': ['fri'], 'months': None, 'time_of_day_end': '23:00', 'time_of_day_start': '00:00'}, {'days_of_month': None, 'days_of_week': ['mon', 'tue', 'wed', 'thu'], 'months': None, 'time_of_day_end': '24:00', 'time_of_day_start': '00:00'}, {'days_of_month': None, 'days_of_week': ['sat'], 'months': None, 'time_of_day_end': '23:00', 'time_of_day_start': '06:00'}]"
02e984b2-c18f-5bf5-9c99-3af20710e88f,50,"[{'activity': 'loading', 'max_stay': 30, 'rate': None, 'user_classes': None}]","[{'days_of_month': None, 'days_of_week': ['sun', 'mon', 'tue', 'wed', 'thu', 'fri', 'sat'], 'months': None, 'time_of_day_end': '24:00', 'time_of_day_start': '22:00'}, {'days_of_month': None, 'days_of_week': ['sun', 'mon', 'tue', 'wed', 'thu', 'fri', 'sat'], 'months': None, 'time_of_day_end': '08:00', 'time_of_day_start': '00:00'}]"
0307ef27-cf86-5c11-88bf-81b6d33bd42a,50,"[{'activity': 'parking', 'max_stay': 120, 'rate': [{'per_hour': 300}], 'user_classes': None}]","[{'days_of_month': None, 'days_of_week': ['mon', 'tue', 'wed', 'thu', 'fri', 'sat'], 'months': None, 'time_of_day_end': '18:30', 'time_of_day_start': '16:00'}]"
032d578a-046b-5857-9153-33ea068bae72,50,"[{'activity': 'parking', 'max_stay': 720, 'rate': [{'per_hour': 125}], 'user_classes': None}]","[{'days_of_month': None, 'days_of_week': ['sun', 'mon', 'tue', 'wed', 'thu', 'fri', 'sat'], 'months': None, 'time_of_day_end': '20:00', 'time_of_day_start': '08:00'}]"
0335ac5c-e30d-52ea-8b7b-2a6a2ef60b31,50,"[{'activity': 'parking', 'max_stay': 180, 'rate': None, 'user_classes': ['disabled']}]","[{'days_of_month': None, 'days_of_week': ['mon', 'tue', 'wed', 'thu', 'fri', 'sat'], 'months': None, 'time_of_day_end': '20:00', 'time_of_day_start': '08:00'}]"
0388e170-52c9-5ff7-9276-62ad3e05cc84,50,"[{'activity': 'parking', 'rate': None, 'user_classes': None}]","[{'days_of_month': None, 'days_of_week': ['mon', 'tue', 'wed', 'thu', 'fri', 'sat'], 'months': None, 'time_of_day_end': '09:00', 'time_of_day_start': '03:00'}]"
03b0740c-cf61-5f1f-95f8-9c4e7618ec9c,50,"[{'activity': 'parking', 'max_stay': 720, 'rate': None, 'user_classes': ['motorcycle']}]","[{'days_of_month': None, 'days_of_week': ['sun'], 'months': None, 'time_of_day_end': '22:00', 'time_of_day_start': '08:00'}]"
041e15bd-310f-5297-b458-fff1941ef7d4,60,"[{'activity': 'no parking', 'rate': None, 'user_classes': None}]","[{'days_of_month': None, 'days_of_week': ['sun'], 'months': None, 'time_of_day_end': '22:00', 'time_of_day_start': '16:00'}]"
0457e7ba-d0cf-59c3-9002-9cd1f6f66372,50,"[{'activity': 'parking', 'max_stay': 180, 'rate': [{'per_hour': 150}], 'user_classes': None}]","[{'days_of_month': None, 'days_of_week': ['mon', 'tue', 'wed', 'thu', 'fri', 'sat'], 'months': None, 'time_of_day_end': '09:00', 'time_of_day_start': '08:00'}]"
