SmartZoneName,Week,day_of_week,hour_of_day,Events,retail_nn1,retail_nn2,retail_nn3,quick_grocery_nn1,quick_grocery_nn2,quick_grocery_nn3,dining_nn1,dining_nn2,dining_nn3,housing_nn1,housing_nn2,housing_nn3,commercial_nn1,commercial_nn2,commercial_nn3,industrial_nn1,industrial_nn2,industrial_nn3,civic_nn1,civic_nn2,civic_nn3,school_nn1,school_nn2,school_nn3,healthcare_nn1,healthcare_nn2,healthcare_nn3,parking_nn1,parking_nn2,parking_nn3,attraction_nn1,attraction_nn2,attraction_nn3,Road_class,dist_class_1,dist_class_2,dist_class_3,dist_class_4,dist_class_5,Prediction,Residual,AbsResidual,year,ordered_week
1300 Chestnut Street (near Broad St),42,Mon,9,1,423.7552,873.4243,959.73279,1655.799,2172.05,2341.628,157.6136,194.2135,320.23321,320.49538,327.9968,337.0223,38.59505,45.76892,49.07258,4118.321,4154.635,4169.325,543.611,552.9657,552.9657,884.7291,1382.449,1389.53319,1003.5136,1388.4272,1405.36359,6150.121,6153.34,6156.332,304.79587,308.4387,310.16116,2,2564.069654026557,49.61353195052943,301.36977292185054,984.6601150109142,216.25631398147493,1.2256225313423674,-0.22562253134236743,0.22562253134236743,2022,1
800 Walnut Street (near 8 Street),42,Thu,9,1,523.597,884.3247,1059.9006,1558.183,194.83925,1997.518,891.4735,978.3254,1029.17363,311.11935,335.1592,345.8634,280.64576,281.41178,282.45853,3818.809,3821.822,3836.955,432.5923,438.4816,459.3795,183.7521,184.8147,188.5864,63.93754,229.21995,230.16045,7842.603,7844.808,7846.771,66.86108,76.21121,103.11062,2,2930.0910569252214,23.45235441355058,219.4772486976668,421.96078962978754,339.5537334789357,1.135526371160742,-0.13552637116074195,0.13552637116074195,2022,2
1000 Chestnut St (near 11 St),43,Thu,7,1,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,1.2227932528850738,-0.2227932528850738,0.2227932528850738,2022,3
1000 Walnut Street (near 10 Street),43,Wed,8,2,730.71629,860.8708,990.28510000000006,1428.939,1973.205,1994.55,654.0521,759.38908,816.4153,112.75203,134.06875,144.05158,476.56204,492.01217,497.8854,3932.535,3951.376,3966.005,430.4938,601.9951,894.7813,195.69925,221.52911,232.97747,37.37284,46.76106,55.44346,7071.369,7073.808,7076.007,328.4941,347.35668,360.65328,2,3128.357795989225,15.119309461996048,240.5321676565792,414.61533218763145,398.279516071123,1.0633235710312199,0.9366764289687801,0.9366764289687801,2022,4
1200 Sansom Street (near 13 Street),43,Fri,6,1,346.27483,577.4038,795.8348,2121.061,2135.325,2149.813,151.43603,161.53409,165.1173,64.32676,734.55624,737.6329,47.0877,81.27148,94.33987,4032.699,4068.888,4081.987,397.2753,464.6057,464.6057,359.8618,783.44647,817.17996,788.5121,817.39297,827.86058,6396.856,6399.76,6402.43,532.21,661.36001,666.55627,3,2816.8521374475486,300.328198494452,89.17716698117461,721.4578990389583,247.0409603435809,1.1321706616402811,-0.13217066164028113,0.13217066164028113,2022,5
1300 Chestnut Street (near Broad St),43,Wed,8,1,423.7552,873.4243,959.73279,1655.799,2172.05,2341.628,157.6136,194.2135,320.23321,320.49538,327.9968,337.0223,38.59505,45.76892,49.07258,4118.321,4154.635,4169.325,543.611,552.9657,552.9657,884.7291,1382.449,1389.53319,1003.5136,1388.4272,1405.36359,6150.121,6153.34,6156.332,304.79587,308.4387,310.16116,2,2564.069654026557,49.61353195052943,301.36977292185054,984.6601150109142,216.25631398147493,1.2245045281077944,-0.22450452810779442,0.22450452810779442,2022,6
600 Walnut Street (near 6 Street),43,Wed,9,1,997.5356,1171.497,1266.5059,2003.158,2183.637,2207.955,668.069,1173.2892,1485.2517,1013.61298,1022.2034,1027.1526,124.7233,132.84494,136.98369,3872.165,3887.121,3901.933,599.77296,734.5135,882.2443,757.04933,772.633,837.7919,725.29641,738.45136,745.28028,8733.453,8735.454,8737.21,1035.75008,1042.17784,1047.36464,2,2625.743847168864,68.28475153339512,313.8284894004425,277.27718658468876,375.1425340547778,1.1468791362263695,-0.1468791362263695,0.1468791362263695,2022,7
800 Walnut Street (near 8 Street),43,Fri,7,1,523.597,884.3247,1059.9006,1558.183,194.83925,1997.518,891.4735,978.3254,1029.17363,311.11935,335.1592,345.8634,280.64576,281.41178,282.45853,3818.809,3821.822,3836.955,432.5923,438.4816,459.3795,183.7521,184.8147,188.5864,63.93754,229.21995,230.16045,7842.603,7844.808,7846.771,66.86108,76.21121,103.11062,2,2930.0910569252214,23.45235441355058,219.4772486976668,421.96078962978754,339.5537334789357,1.1337728191482686,-0.13377281914826855,0.13377281914826855,2022,8
900 Chestnut St (near 10 St),43,Fri,7,1,238.0488,469.3118,604.0395,1396.012,1445.628,1472.113,766.6367,1013.3647,1188.487,79.26219,101.0339,111.388,338.28007,342.00863,346.86527,3230.982,3236.941,3251.997,471.4799,471.4799,493.6934,86.64106,102.91038,120.55655,60.95652,109.6801,126.94841,8038.691,8041.181,8043.431,418.07344,419.11178,420.33538,2,2474.26027094571,136.15777894997487,123.84928660216647,667.5793855121271,238.20192554666394,1.1743103074857173,-0.1743103074857173,0.1743103074857173,2022,9
900 Walnut Street (near 10 Street),43,Fri,8,1,64.99524,73.85461,78.70668,90.38955,1420.957,1929.936,46.46996,82.60672,837.92177,76.60757,81.00151,83.05804,169.93426,170.29378,176.29377,3859.812,3872.744,3887.649,516.2803,654.7593,732.9857,93.97077,118.05566,131.96399,120.06518,126.25091,128.58456,7369.374,7371.721,7373.825,370.66443,387.19322,404.69619,2,3149.9695899660514,117.51740270032754,178.7487715727307,419.9037441037893,288.6077659738645,1.134782650507201,-0.13478265050720095,0.13478265050720095,2022,10
1000 Chestnut St (near 11 St),44,Thu,9,3,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,1.2252541802936667,1.7747458197063333,1.7747458197063333,2022,11
1100 Walnut Street (near 11 Street),44,Fri,8,1,437.42687,828.22260000000006,1071.093,1512.629,2069.127,2079.721,465.7547,478.94527,522.99056,178.11623,204.62938,213.54137,654.08334,686.45905,706.33714,4029.572,4053.751,4068.031,430.7897,614.8577,984.2827,24.36375,81.27329,106.35058,38.24489,71.10741,84.78974,6787.203,6789.738,6792.034,19.71882,56.88814,71.24318,2,3143.2270228357715,14.233740270500098,166.77050881479383,414.14322991059817,151.41905705774053,1.1076970930360075,-0.1076970930360075,0.1076970930360075,2022,12
1200 Sansom Street (near 12 Street),44,Thu,6,1,59.72438,729.2396,758.7891,1941.452,1998.455,2004.642,61.08797,88.23468,103.1703,663.80351,687.7674,700.43931,169.37761,205.49129,220.76711,3925.364,3957.437,3971.003,372.816,532.8414,532.8414,200.6063,519.00853,564.17677,527.35618,543.19719,550.7581,6607.571,6610.365,6612.924,435.11889,472.2981,486.73912,3,2875.1125334021162,271.3593124826996,98.77400499715762,691.1053729203591,271.23674686096535,1.1523901160480432,-0.1523901160480432,0.1523901160480432,2022,13
1200 Sansom Street (near 13 Street),44,Thu,7,1,346.27483,577.4038,795.8348,2121.061,2135.325,2149.813,151.43603,161.53409,165.1173,64.32676,734.55624,737.6329,47.0877,81.27148,94.33987,4032.699,4068.888,4081.987,397.2753,464.6057,464.6057,359.8618,783.44647,817.17996,788.5121,817.39297,827.86058,6396.856,6399.76,6402.43,532.21,661.36001,666.55627,3,2816.8521374475486,300.328198494452,89.17716698117461,721.4578990389583,247.0409603435809,1.1338318114356005,-0.13383181143560052,0.13383181143560052,2022,14
1200 Walnut Street (near 12 Street),44,Thu,8,1,270.85957,964.3312,980.6505,97.14795,1707.495,2091.947,242.11582,248.25476,256.0519,13.90123,19.69349,36.13849,351.81878,370.29835,404.28545,4185.9,4216.2,4229.956,419.459,602.5681,798.8992,437.20601,450.2366,482.3916,434.94665,447.42213,459.59296,6435.538,6438.204,6440.634,288.9975,327.39945,345.07939,2,3153.101752426862,21.499810438635667,112.29332454971525,408.5099972709711,134.09383769937628,1.082288321156679,-0.08228832115667895,0.08228832115667895,2022,15
1200 Walnut Street (near 12 Street),44,Wed,9,1,270.85957,964.3312,980.6505,97.14795,1707.495,2091.947,242.11582,248.25476,256.0519,13.90123,19.69349,36.13849,351.81878,370.29835,404.28545,4185.9,4216.2,4229.956,419.459,602.5681,798.8992,437.20601,450.2366,482.3916,434.94665,447.42213,459.59296,6435.538,6438.204,6440.634,288.9975,327.39945,345.07939,2,3153.101752426862,21.499810438635667,112.29332454971525,408.5099972709711,134.09383769937628,1.0827836943991627,-0.08278369439916267,0.08278369439916267,2022,16
1300 Walnut Street (near 13 Street),44,Tue,8,1,601.17062,855.0282,983.4105,2002.854,2007.837,2508.645,331.876,385.87799,387.40186,375.68849,379.3918,392.0822,96.04947,105.99211,109.37865,4071.589,4108.539,4136.713,620.6715,646.5138,800.9203,708.4852,905.47582,911.19814,748.6777,902.47062,907.59417,6047.982,6050.805,6053.393,341.8243,361.67339,362.93579,2,3135.61456283352,38.63224307587342,125.33556682742528,399.37911956861427,179.6917813560367,1.095054249761674,-0.09505424976167398,0.09505424976167398,2022,17
