SmartZoneName,retail_nn1,retail_nn2,retail_nn3,quick_grocery_nn1,quick_grocery_nn2,quick_grocery_nn3,dining_nn1,dining_nn2,dining_nn3,housing_nn1,housing_nn2,housing_nn3,commercial_nn1,commercial_nn2,commercial_nn3,industrial_nn1,industrial_nn2,industrial_nn3,civic_nn1,civic_nn2,civic_nn3,school_nn1,school_nn2,school_nn3,healthcare_nn1,healthcare_nn2,healthcare_nn3,parking_nn1,parking_nn2,parking_nn3,attraction_nn1,attraction_nn2,attraction_nn3
100 Broad (near Walnut St)," 686.4404"," 688.0856"," 701.7737","1554.719","1978.099","2488.709"," 457.27362"," 468.02846"," 473.9343"," 305.32607"," 308.3329"," 310.8122","  30.26416","  34.29026","  59.10491","4018.772","4045.383","4074.619"," 601.9115"," 669.6698"," 920.1695","1040.9537","1240.39206","1242.44443"," 739.0862","1113.6219","1128.2737","5751.449","5754.484","5757.288"," 160.50695"," 168.41485"," 253.80960"
1000 Chestnut St (near 11 St)," 458.0870"," 562.8278"," 606.3953","1346.787","1378.175","1403.977"," 994.35893","1020.06405","1083.6412"," 395.80676"," 400.9471"," 405.4735"," 346.69509"," 372.81799"," 384.88101","3288.889","3304.555","3319.309"," 268.9491"," 268.9491"," 269.3123"," 172.70510"," 208.46303"," 233.53480"," 105.92147"," 117.32443"," 130.50456","7653.510","7656.121","7658.493"," 276.51824"," 280.27934"," 291.83817"
1000 Walnut Street (near 10 Street)," 730.71629"," 860.8708"," 990.2851","1428.939","1973.205","1994.550"," 654.0521"," 759.38908"," 816.4153"," 112.75203"," 134.06875"," 144.05158"," 476.56204"," 492.01217"," 497.88540","3932.535","3951.376","3966.005"," 430.4938"," 601.9951"," 894.7813"," 195.69925"," 221.52911"," 232.97747","  37.37284","  46.76106","  55.44346","7071.369","7073.808","7076.007"," 328.49410"," 347.35668"," 360.65328"
1100 Walnut Street (near 11 Street)," 437.42687"," 828.2226","1071.0930","1512.629","2069.127","2079.721"," 465.7547"," 478.94527"," 522.99056"," 178.11623"," 204.62938"," 213.54137"," 654.08334"," 686.45905"," 706.33714","4029.572","4053.751","4068.031"," 430.7897"," 614.8577"," 984.2827","  24.36375","  81.27329"," 106.35058","  38.24489","  71.10741","  84.78974","6787.203","6789.738","6792.034","  19.71882","  56.88814","  71.24318"
1100 Walnut Street (near 12 Street)," 296.66766"," 71.48261"," 80.50651","144.02761","1600.517","2135.496"," 351.58368"," 362.85629"," 373.5492"," 399.33651"," 418.54717"," 425.09968"," 474.91292"," 502.72417"," 529.53861","4114.953","4142.459","4156.472"," 437.4681"," 568.2742"," 870.9116"," 242.53654"," 263.24689"," 296.09647"," 240.66557"," 261.18239"," 272.07892","6594.179","6596.781","6599.144"," 132.84950"," 165.45424"," 177.47120"
1200 Chestnut St (near 13 St)," 345.18111"," 404.7793"," 531.8228","105.42583","1652.455","1660.228"," 293.81281"," 356.69556"," 383.0714"," 49.78763"," 58.62212"," 606.50647"," 166.18627"," 172.16281"," 178.96198","3578.230","3610.335","3623.883"," 399.1205"," 399.1205"," 403.7899"," 166.9069"," 388.30305"," 439.56315"," 405.47550"," 415.71148"," 452.98785","6917.793","6920.671","6923.315"," 341.77443"," 350.56872"," 354.01596"
1200 Sansom Street (near 12 Street),"  59.72438"," 729.2396"," 758.7891","1941.452","1998.455","2004.642","  61.08797","  88.23468"," 103.1703"," 663.80351"," 687.76740"," 700.43931"," 169.37761"," 205.49129"," 220.76711","3925.364","3957.437","3971.003"," 372.8160"," 532.8414"," 532.8414"," 200.6063"," 519.00853"," 564.17677"," 527.35618"," 543.19719"," 550.75810","6607.571","6610.365","6612.924"," 435.11889"," 472.29810"," 486.73912"
1200 Sansom Street (near 13 Street)," 346.27483"," 577.4038"," 795.8348","2121.061","2135.325","2149.813"," 151.43603"," 161.53409"," 165.1173"," 64.32676"," 734.55624"," 737.6329","  47.08770","  81.27148","  94.33987","4032.699","4068.888","4081.987"," 397.2753"," 464.6057"," 464.6057"," 359.8618"," 783.44647"," 817.17996"," 788.51210"," 817.39297"," 827.86058","6396.856","6399.760","6402.430"," 532.2100"," 661.36001"," 666.55627"
1200 Walnut Street (near 12 Street)," 270.85957"," 964.3312"," 980.6505"," 97.14795","1707.495","2091.947"," 242.11582"," 248.25476"," 256.0519"," 13.90123"," 19.69349"," 36.13849"," 351.81878"," 370.29835"," 404.28545","4185.900","4216.200","4229.956"," 419.4590"," 602.5681"," 798.8992"," 437.20601"," 450.23660"," 482.3916"," 434.94665"," 447.42213"," 459.59296","6435.538","6438.204","6440.634"," 288.9975"," 327.39945"," 345.07939"
1299 Walnut Street (near 13 Street)," 427.77752"," 58.96994"," 883.2430","1864.482","2039.449","2390.030"," 262.30782"," 269.15496"," 276.8557"," 19.00038"," 42.13281"," 50.63159"," 288.92690"," 292.57799"," 298.89564","4152.354","4193.319","4220.975"," 512.8764"," 632.3635"," 784.0207"," 576.5467"," 701.70734"," 709.30315"," 698.86080"," 705.88356"," 718.71474","6214.272","6217.024","6219.541"," 218.4470"," 564.81861"," 565.65690"
