SmartZoneName,curb_zone_id,week,day,bookings,Weekend_dummy,retail_nn1,retail_nn2,retail_nn3,quick_grocery_nn1,quick_grocery_nn2,quick_grocery_nn3,dining_nn1,dining_nn2,dining_nn3,housing_nn1,housing_nn2,housing_nn3,commercial_nn1,commercial_nn2,commercial_nn3,industrial_nn1,industrial_nn2,industrial_nn3,civic_nn1,civic_nn2,civic_nn3,school_nn1,school_nn2,school_nn3,healthcare_nn1,healthcare_nn2,healthcare_nn3,parking_nn1,parking_nn2,parking_nn3,attraction_nn1,attraction_nn2,attraction_nn3,CLASS_2,Bike_Network_dummy,geometry,dist_class_1,dist_class_2,dist_class_3,dist_class_4,dist_class_5,Prediction,Residual,AbsResidual
100 Broad (near Walnut St),192,3,Tue,0,0,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,2,0,"c(-75.1640706339437,  39.9495148480436)",3032.5956945790113,65.95892686846547,214.29753883245314,489.02140134716245,173.98221860585758,0.26622046261335086,-0.26622046261335086,0.26622046261335086
100 Broad (near Walnut St),192,3,Fri,1,0,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,2,0,"c(-75.1640706339437,  39.9495148480436)",3032.5956945790113,65.95892686846547,214.29753883245314,489.02140134716245,173.98221860585758,0.26622046261335086,0.7337795373866491,0.7337795373866491
100 Broad (near Walnut St),192,7,Sun,0,1,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,2,0,"c(-75.1640706339437,  39.9495148480436)",3032.5956945790113,65.95892686846547,214.29753883245314,489.02140134716245,173.98221860585758,0.00695394722171294,-0.00695394722171294,0.00695394722171294
100 Broad (near Walnut St),192,7,Thu,0,0,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,2,0,"c(-75.1640706339437,  39.9495148480436)",3032.5956945790113,65.95892686846547,214.29753883245314,489.02140134716245,173.98221860585758,0.26622046261335086,-0.26622046261335086,0.26622046261335086
100 Broad (near Walnut St),192,9,Sun,0,1,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,2,0,"c(-75.1640706339437,  39.9495148480436)",3032.5956945790113,65.95892686846547,214.29753883245314,489.02140134716245,173.98221860585758,0.00695394722171294,-0.00695394722171294,0.00695394722171294
100 Broad (near Walnut St),192,9,Thu,4,0,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,2,0,"c(-75.1640706339437,  39.9495148480436)",3032.5956945790113,65.95892686846547,214.29753883245314,489.02140134716245,173.98221860585758,0.26622046261335086,3.733779537386649,3.733779537386649
100 Broad (near Walnut St),192,9,Sat,0,1,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,2,0,"c(-75.1640706339437,  39.9495148480436)",3032.5956945790113,65.95892686846547,214.29753883245314,489.02140134716245,173.98221860585758,0.00695394722171294,-0.00695394722171294,0.00695394722171294
100 Broad (near Walnut St),192,15,Sun,0,1,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,2,0,"c(-75.1640706339437,  39.9495148480436)",3032.5956945790113,65.95892686846547,214.29753883245314,489.02140134716245,173.98221860585758,0.00695394722171294,-0.00695394722171294,0.00695394722171294
100 Broad (near Walnut St),192,15,Wed,0,0,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,2,0,"c(-75.1640706339437,  39.9495148480436)",3032.5956945790113,65.95892686846547,214.29753883245314,489.02140134716245,173.98221860585758,0.26622046261335086,-0.26622046261335086,0.26622046261335086
1000 Chestnut St (near 11 St),181,1,Tue,3,0,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,4.419552640152815,-1.4195526401528147,1.4195526401528147
