SmartZoneName,week,day,Events,retail_nn1,retail_nn2,retail_nn3,quick_grocery_nn1,quick_grocery_nn2,quick_grocery_nn3,dining_nn1,dining_nn2,dining_nn3,housing_nn1,housing_nn2,housing_nn3,commercial_nn1,commercial_nn2,commercial_nn3,industrial_nn1,industrial_nn2,industrial_nn3,civic_nn1,civic_nn2,civic_nn3,school_nn1,school_nn2,school_nn3,healthcare_nn1,healthcare_nn2,healthcare_nn3,parking_nn1,parking_nn2,parking_nn3,attraction_nn1,attraction_nn2,attraction_nn3,Road_class,dist_class_1,dist_class_2,dist_class_3,dist_class_4,dist_class_5,Prediction,Residual,AbsResidual
100 Broad (near Walnut St),1,Thu,0,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,2,3032.5956945790113,65.95892686846547,214.29753883245314,489.02140134716245,173.98221860585758,0.003848491382438499,-0.003848491382438499,0.003848491382438499
100 Broad (near Walnut St),2,Fri,0,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,2,3032.5956945790113,65.95892686846547,214.29753883245314,489.02140134716245,173.98221860585758,0.02230114023345684,-0.02230114023345684,0.02230114023345684
100 Broad (near Walnut St),3,Wed,0,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,2,3032.5956945790113,65.95892686846547,214.29753883245314,489.02140134716245,173.98221860585758,0.0038320699682500305,-0.0038320699682500305,0.0038320699682500305
100 Broad (near Walnut St),4,Tue,0,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,2,3032.5956945790113,65.95892686846547,214.29753883245314,489.02140134716245,173.98221860585758,0.00836980902732606,-0.00836980902732606,0.00836980902732606
100 Broad (near Walnut St),5,Mon,0,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,2,3032.5956945790113,65.95892686846547,214.29753883245314,489.02140134716245,173.98221860585758,9.142412367728581e-4,-9.142412367728581e-4,9.142412367728581e-4
100 Broad (near Walnut St),6,Fri,0,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,2,3032.5956945790113,65.95892686846547,214.29753883245314,489.02140134716245,173.98221860585758,0.009172638571178204,-0.009172638571178204,0.009172638571178204
100 Broad (near Walnut St),6,Thu,0,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,2,3032.5956945790113,65.95892686846547,214.29753883245314,489.02140134716245,173.98221860585758,0.0015654094191399973,-0.0015654094191399973,0.0015654094191399973
100 Broad (near Walnut St),6,Tue,0,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,2,3032.5956945790113,65.95892686846547,214.29753883245314,489.02140134716245,173.98221860585758,0.001405450691835935,-0.001405450691835935,0.001405450691835935
100 Broad (near Walnut St),7,Mon,0,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,2,3032.5956945790113,65.95892686846547,214.29753883245314,489.02140134716245,173.98221860585758,0.0010827926350649682,-0.0010827926350649682,0.0010827926350649682
100 Broad (near Walnut St),8,Thu,0,686.4404,688.0856,701.7737,1554.719,1978.099,2488.709,457.27362,468.02846,473.9343,305.32607,308.3329,310.8122,30.26416,34.29026,59.10491,4018.772,4045.383,4074.619,601.9115,669.6698,920.1695,1040.9537,1240.39206,1242.44443,739.0862,1113.6219,1128.2737,5751.449,5754.484,5757.288,160.50695,168.41485,253.8096,2,3032.5956945790113,65.95892686846547,214.29753883245314,489.02140134716245,173.98221860585758,3.9632767206869386e-4,-3.9632767206869386e-4,3.9632767206869386e-4
