SmartZoneName,curb_zone_id,week,Day,bookings,Weekend_dummy,CLASS_2,Bike_Network_dummy
100 Broad (near Walnut St),"192","3",Sun,"0",1,"2",0
100 Broad (near Walnut St),"192","3",Mon,"0",0,"2",0
100 Broad (near Walnut St),"192","3",Tue,"0",0,"2",0
100 Broad (near Walnut St),"192","3",Wed,"0",0,"2",0
100 Broad (near Walnut St),"192","3",Thu,"0",0,"2",0
100 Broad (near Walnut St),"192","3",Fri,"1",0,"2",0
100 Broad (near Walnut St),"192","3",Sat,"0",1,"2",0
100 Broad (near Walnut St),"192","5",Sun,"0",1,"2",0
100 Broad (near Walnut St),"192","5",Mon,"0",0,"2",0
100 Broad (near Walnut St),"192","5",Tue,"0",0,"2",0
100 Broad (near Walnut St),"192","5",Wed,"1",0,"2",0
100 Broad (near Walnut St),"192","5",Thu,"0",0,"2",0
100 Broad (near Walnut St),"192","5",Fri,"1",0,"2",0
100 Broad (near Walnut St),"192","5",Sat,"0",1,"2",0
100 Broad (near Walnut St),"192","7",Sun,"0",1,"2",0
100 Broad (near Walnut St),"192","7",Mon,"0",0,"2",0
100 Broad (near Walnut St),"192","7",Tue,"0",0,"2",0
100 Broad (near Walnut St),"192","7",Wed,"0",0,"2",0
100 Broad (near Walnut St),"192","7",Thu,"0",0,"2",0
100 Broad (near Walnut St),"192","7",Fri,"1",0,"2",0
100 Broad (near Walnut St),"192","7",Sat,"0",1,"2",0
100 Broad (near Walnut St),"192","9",Sun,"0",1,"2",0
100 Broad (near Walnut St),"192","9",Mon,"0",0,"2",0
100 Broad (near Walnut St),"192","9",Tue,"0",0,"2",0
100 Broad (near Walnut St),"192","9",Wed,"0",0,"2",0
100 Broad (near Walnut St),"192","9",Thu,"4",0,"2",0
100 Broad (near Walnut St),"192","9",Fri,"0",0,"2",0
100 Broad (near Walnut St),"192","9",Sat,"0",1,"2",0
100 Broad (near Walnut St),"192","15",Sun,"0",1,"2",0
100 Broad (near Walnut St),"192","15",Mon,"0",0,"2",0
100 Broad (near Walnut St),"192","15",Tue,"0",0,"2",0
100 Broad (near Walnut St),"192","15",Wed,"0",0,"2",0
100 Broad (near Walnut St),"192","15",Thu,"1",0,"2",0
100 Broad (near Walnut St),"192","15",Fri,"0",0,"2",0
100 Broad (near Walnut St),"192","15",Sat,"0",1,"2",0
1000 Chestnut St (near 11 St),"181","1",Sun,"3",1,"2",1
1000 Chestnut St (near 11 St),"181","1",Mon,"1",0,"2",1
1000 Chestnut St (near 11 St),"181","1",Tue,"3",0,"2",1
1000 Chestnut St (near 11 St),"181","1",Wed,"1",0,"2",1
1000 Chestnut St (near 11 St),"181","1",Thu,"3",0,"2",1
1000 Chestnut St (near 11 St),"181","1",Fri,"7",0,"2",1
1000 Chestnut St (near 11 St),"181","1",Sat,"4",1,"2",1
1000 Chestnut St (near 11 St),"181","2",Sun,"4",1,"2",1
1000 Chestnut St (near 11 St),"181","2",Mon,"3",0,"2",1
1000 Chestnut St (near 11 St),"181","2",Tue,"7",0,"2",1
1000 Chestnut St (near 11 St),"181","2",Wed,"5",0,"2",1
1000 Chestnut St (near 11 St),"181","2",Thu,"2",0,"2",1
1000 Chestnut St (near 11 St),"181","2",Fri,"6",0,"2",1
1000 Chestnut St (near 11 St),"181","2",Sat,"1",1,"2",1
1000 Chestnut St (near 11 St),"181","3",Sun,"0",1,"2",1
1000 Chestnut St (near 11 St),"181","3",Mon,"6",0,"2",1
1000 Chestnut St (near 11 St),"181","3",Tue,"4",0,"2",1
1000 Chestnut St (near 11 St),"181","3",Wed,"1",0,"2",1
1000 Chestnut St (near 11 St),"181","3",Thu,"4",0,"2",1
1000 Chestnut St (near 11 St),"181","3",Fri,"10",0,"2",1
1000 Chestnut St (near 11 St),"181","3",Sat,"4",1,"2",1
1000 Chestnut St (near 11 St),"181","4",Sun,"0",1,"2",1
1000 Chestnut St (near 11 St),"181","4",Mon,"8",0,"2",1
1000 Chestnut St (near 11 St),"181","4",Tue,"3",0,"2",1
1000 Chestnut St (near 11 St),"181","4",Wed,"6",0,"2",1
1000 Chestnut St (near 11 St),"181","4",Thu,"3",0,"2",1
1000 Chestnut St (near 11 St),"181","4",Fri,"7",0,"2",1
1000 Chestnut St (near 11 St),"181","4",Sat,"4",1,"2",1
1000 Chestnut St (near 11 St),"181","5",Sun,"2",1,"2",1
1000 Chestnut St (near 11 St),"181","5",Mon,"4",0,"2",1
1000 Chestnut St (near 11 St),"181","5",Tue,"9",0,"2",1
1000 Chestnut St (near 11 St),"181","5",Wed,"2",0,"2",1
1000 Chestnut St (near 11 St),"181","5",Thu,"3",0,"2",1
1000 Chestnut St (near 11 St),"181","5",Fri,"3",0,"2",1
1000 Chestnut St (near 11 St),"181","5",Sat,"6",1,"2",1
1000 Chestnut St (near 11 St),"181","6",Sun,"7",1,"2",1
1000 Chestnut St (near 11 St),"181","6",Mon,"2",0,"2",1
1000 Chestnut St (near 11 St),"181","6",Tue,"3",0,"2",1
1000 Chestnut St (near 11 St),"181","6",Wed,"2",0,"2",1
1000 Chestnut St (near 11 St),"181","6",Thu,"4",0,"2",1
1000 Chestnut St (near 11 St),"181","6",Fri,"5",0,"2",1
1000 Chestnut St (near 11 St),"181","6",Sat,"6",1,"2",1
1000 Chestnut St (near 11 St),"181","7",Sun,"0",1,"2",1
1000 Chestnut St (near 11 St),"181","7",Mon,"1",0,"2",1
1000 Chestnut St (near 11 St),"181","7",Tue,"7",0,"2",1
1000 Chestnut St (near 11 St),"181","7",Wed,"8",0,"2",1
1000 Chestnut St (near 11 St),"181","7",Thu,"3",0,"2",1
1000 Chestnut St (near 11 St),"181","7",Fri,"7",0,"2",1
1000 Chestnut St (near 11 St),"181","7",Sat,"10",1,"2",1
1000 Chestnut St (near 11 St),"181","8",Sun,"5",1,"2",1
1000 Chestnut St (near 11 St),"181","8",Mon,"2",0,"2",1
1000 Chestnut St (near 11 St),"181","8",Tue,"1",0,"2",1
1000 Chestnut St (near 11 St),"181","8",Wed,"2",0,"2",1
1000 Chestnut St (near 11 St),"181","8",Thu,"4",0,"2",1
1000 Chestnut St (near 11 St),"181","8",Fri,"4",0,"2",1
1000 Chestnut St (near 11 St),"181","8",Sat,"9",1,"2",1
1000 Chestnut St (near 11 St),"181","9",Sun,"6",1,"2",1
1000 Chestnut St (near 11 St),"181","9",Mon,"1",0,"2",1
1000 Chestnut St (near 11 St),"181","9",Tue,"4",0,"2",1
1000 Chestnut St (near 11 St),"181","9",Wed,"6",0,"2",1
1000 Chestnut St (near 11 St),"181","9",Thu,"7",0,"2",1
1000 Chestnut St (near 11 St),"181","9",Fri,"9",0,"2",1
1000 Chestnut St (near 11 St),"181","9",Sat,"5",1,"2",1
1000 Chestnut St (near 11 St),"181","10",Sun,"3",1,"2",1
1000 Chestnut St (near 11 St),"181","10",Mon,"4",0,"2",1
1000 Chestnut St (near 11 St),"181","10",Tue,"4",0,"2",1
1000 Chestnut St (near 11 St),"181","10",Wed,"5",0,"2",1
1000 Chestnut St (near 11 St),"181","10",Thu,"5",0,"2",1
1000 Chestnut St (near 11 St),"181","10",Fri,"7",0,"2",1
1000 Chestnut St (near 11 St),"181","10",Sat,"7",1,"2",1
1000 Chestnut St (near 11 St),"181","11",Sun,"2",1,"2",1
1000 Chestnut St (near 11 St),"181","11",Mon,"4",0,"2",1
1000 Chestnut St (near 11 St),"181","11",Tue,"13",0,"2",1
1000 Chestnut St (near 11 St),"181","11",Wed,"7",0,"2",1
1000 Chestnut St (near 11 St),"181","11",Thu,"5",0,"2",1
1000 Chestnut St (near 11 St),"181","11",Fri,"6",0,"2",1
1000 Chestnut St (near 11 St),"181","11",Sat,"7",1,"2",1
1000 Chestnut St (near 11 St),"181","12",Sun,"4",1,"2",1
1000 Chestnut St (near 11 St),"181","12",Mon,"5",0,"2",1
1000 Chestnut St (near 11 St),"181","12",Tue,"6",0,"2",1
1000 Chestnut St (near 11 St),"181","12",Wed,"8",0,"2",1
1000 Chestnut St (near 11 St),"181","12",Thu,"11",0,"2",1
1000 Chestnut St (near 11 St),"181","12",Fri,"4",0,"2",1
1000 Chestnut St (near 11 St),"181","12",Sat,"4",1,"2",1
1000 Chestnut St (near 11 St),"181","13",Sun,"3",1,"2",1
1000 Chestnut St (near 11 St),"181","13",Mon,"4",0,"2",1
1000 Chestnut St (near 11 St),"181","13",Tue,"6",0,"2",1
1000 Chestnut St (near 11 St),"181","13",Wed,"12",0,"2",1
1000 Chestnut St (near 11 St),"181","13",Thu,"7",0,"2",1
1000 Chestnut St (near 11 St),"181","13",Fri,"2",0,"2",1
1000 Chestnut St (near 11 St),"181","13",Sat,"7",1,"2",1
1000 Chestnut St (near 11 St),"181","14",Sun,"4",1,"2",1
1000 Chestnut St (near 11 St),"181","14",Mon,"6",0,"2",1
1000 Chestnut St (near 11 St),"181","14",Tue,"10",0,"2",1
1000 Chestnut St (near 11 St),"181","14",Wed,"4",0,"2",1
1000 Chestnut St (near 11 St),"181","14",Thu,"9",0,"2",1
1000 Chestnut St (near 11 St),"181","14",Fri,"4",0,"2",1
1000 Chestnut St (near 11 St),"181","14",Sat,"6",1,"2",1
1000 Chestnut St (near 11 St),"181","15",Sun,"1",1,"2",1
1000 Chestnut St (near 11 St),"181","15",Mon,"6",0,"2",1
1000 Chestnut St (near 11 St),"181","15",Tue,"9",0,"2",1
1000 Chestnut St (near 11 St),"181","15",Wed,"4",0,"2",1
1000 Chestnut St (near 11 St),"181","15",Thu,"7",0,"2",1
1000 Chestnut St (near 11 St),"181","15",Fri,"0",0,"2",1
1000 Chestnut St (near 11 St),"181","15",Sat,"0",1,"2",1
1000 Chestnut St (near 11 St),"181","42",Sun,"1",1,"2",1
1000 Chestnut St (near 11 St),"181","42",Mon,"0",0,"2",1
1000 Chestnut St (near 11 St),"181","42",Tue,"0",0,"2",1
1000 Chestnut St (near 11 St),"181","42",Wed,"4",0,"2",1
1000 Chestnut St (near 11 St),"181","42",Thu,"0",0,"2",1
1000 Chestnut St (near 11 St),"181","42",Fri,"2",0,"2",1
1000 Chestnut St (near 11 St),"181","42",Sat,"0",1,"2",1
1000 Chestnut St (near 11 St),"181","43",Sun,"2",1,"2",1
1000 Chestnut St (near 11 St),"181","43",Mon,"2",0,"2",1
1000 Chestnut St (near 11 St),"181","43",Tue,"5",0,"2",1
1000 Chestnut St (near 11 St),"181","43",Wed,"1",0,"2",1
1000 Chestnut St (near 11 St),"181","43",Thu,"3",0,"2",1
1000 Chestnut St (near 11 St),"181","43",Fri,"4",0,"2",1
1000 Chestnut St (near 11 St),"181","43",Sat,"2",1,"2",1
1000 Chestnut St (near 11 St),"181","44",Sun,"3",1,"2",1
1000 Chestnut St (near 11 St),"181","44",Mon,"0",0,"2",1
1000 Chestnut St (near 11 St),"181","44",Tue,"3",0,"2",1
1000 Chestnut St (near 11 St),"181","44",Wed,"3",0,"2",1
1000 Chestnut St (near 11 St),"181","44",Thu,"10",0,"2",1
1000 Chestnut St (near 11 St),"181","44",Fri,"7",0,"2",1
1000 Chestnut St (near 11 St),"181","44",Sat,"1",1,"2",1
1000 Chestnut St (near 11 St),"181","45",Sun,"3",1,"2",1
1000 Chestnut St (near 11 St),"181","45",Mon,"5",0,"2",1
1000 Chestnut St (near 11 St),"181","45",Tue,"3",0,"2",1
1000 Chestnut St (near 11 St),"181","45",Wed,"4",0,"2",1
1000 Chestnut St (near 11 St),"181","45",Thu,"3",0,"2",1
1000 Chestnut St (near 11 St),"181","45",Fri,"13",0,"2",1
1000 Chestnut St (near 11 St),"181","45",Sat,"1",1,"2",1
1000 Chestnut St (near 11 St),"181","46",Sun,"6",1,"2",1
1000 Chestnut St (near 11 St),"181","46",Mon,"3",0,"2",1
1000 Chestnut St (near 11 St),"181","46",Tue,"5",0,"2",1
1000 Chestnut St (near 11 St),"181","46",Wed,"0",0,"2",1
1000 Chestnut St (near 11 St),"181","46",Thu,"2",0,"2",1
1000 Chestnut St (near 11 St),"181","46",Fri,"4",0,"2",1
1000 Chestnut St (near 11 St),"181","46",Sat,"3",1,"2",1
1000 Chestnut St (near 11 St),"181","47",Sun,"2",1,"2",1
1000 Chestnut St (near 11 St),"181","47",Mon,"2",0,"2",1
1000 Chestnut St (near 11 St),"181","47",Tue,"5",0,"2",1
1000 Chestnut St (near 11 St),"181","47",Wed,"6",0,"2",1
1000 Chestnut St (near 11 St),"181","47",Thu,"1",0,"2",1
1000 Chestnut St (near 11 St),"181","47",Fri,"2",0,"2",1
1000 Chestnut St (near 11 St),"181","47",Sat,"5",1,"2",1
1000 Chestnut St (near 11 St),"181","48",Sun,"0",1,"2",1
1000 Chestnut St (near 11 St),"181","48",Mon,"8",0,"2",1
1000 Chestnut St (near 11 St),"181","48",Tue,"7",0,"2",1
1000 Chestnut St (near 11 St),"181","48",Wed,"3",0,"2",1
1000 Chestnut St (near 11 St),"181","48",Thu,"4",0,"2",1
1000 Chestnut St (near 11 St),"181","48",Fri,"1",0,"2",1
1000 Chestnut St (near 11 St),"181","48",Sat,"3",1,"2",1
1000 Chestnut St (near 11 St),"181","49",Sun,"2",1,"2",1
1000 Chestnut St (near 11 St),"181","49",Mon,"2",0,"2",1
1000 Chestnut St (near 11 St),"181","49",Tue,"3",0,"2",1
1000 Chestnut St (near 11 St),"181","49",Wed,"2",0,"2",1
1000 Chestnut St (near 11 St),"181","49",Thu,"6",0,"2",1
1000 Chestnut St (near 11 St),"181","49",Fri,"7",0,"2",1
1000 Chestnut St (near 11 St),"181","49",Sat,"3",1,"2",1
1000 Chestnut St (near 11 St),"181","50",Sun,"3",1,"2",1
1000 Chestnut St (near 11 St),"181","50",Mon,"2",0,"2",1
1000 Chestnut St (near 11 St),"181","50",Tue,"4",0,"2",1
1000 Chestnut St (near 11 St),"181","50",Wed,"2",0,"2",1
1000 Chestnut St (near 11 St),"181","50",Thu,"3",0,"2",1
1000 Chestnut St (near 11 St),"181","50",Fri,"6",0,"2",1
1000 Chestnut St (near 11 St),"181","50",Sat,"6",1,"2",1
1000 Chestnut St (near 11 St),"181","51",Sun,"4",1,"2",1
1000 Chestnut St (near 11 St),"181","51",Mon,"2",0,"2",1
1000 Chestnut St (near 11 St),"181","51",Tue,"12",0,"2",1
1000 Chestnut St (near 11 St),"181","51",Wed,"8",0,"2",1
1000 Chestnut St (near 11 St),"181","51",Thu,"10",0,"2",1
1000 Chestnut St (near 11 St),"181","51",Fri,"4",0,"2",1
1000 Chestnut St (near 11 St),"181","51",Sat,"4",1,"2",1
1000 Chestnut St (near 11 St),"181","52",Sun,"0",1,"2",1
1000 Chestnut St (near 11 St),"181","52",Mon,"1",0,"2",1
1000 Chestnut St (near 11 St),"181","52",Tue,"7",0,"2",1
